pop,A,B,C,D,Otros,fam_ling,epoca,estado
p-MBon,5,0,0,0,0,Maya,Prehispanica,Chiapas
p-MPal,5,0,3,1,0,Maya,Prehispanica,Chiapas
P-MTab,8,0,7,2,0,Maya,Prehispanica,Tabasco
p-MRey,3,0,2,0,0,Maya,Prehispanica,Quintana_Roo
p-MXcaret,22,1,2,0,1,Maya,Prehispanica,Quintana_Roo
p-MXcam,2,0,0,0,0,Maya,Prehispanica,Yucatan
p-MCop,0,0,8,1,0,Maya,Prehispanica,Honduras
c-MXca,16,1,4,3,0,Maya,Colonial,Quintana_Roo
Chol,8,0,1,0,0,Maya,Modernos,Chiapas
Chor,40,0,14,0,3,Maya,Modernos,Guatemala
Itza,16,1,0,0,0,Maya,Modernos,Guatemala
Laca,80,0,1,0,0,Maya,Modernos,Chiapas
MCam,32,9,8,3,0,Maya,Modernos,Campeche
MQui1,58,4,8,5,0,Maya,Modernos,Quintana_Roo
MQui2,35,3,4,2,0,Maya,Modernos,Quintana_Roo
MQui3,48,12,11,3,0,Maya,Modernos,Quintana_Roo
MYuc1,106,6,10,3,0,Maya,Modernos,Yucatan
MYuc2,14,6,4,2,1,Maya,Modernos,Yucatan
MYuc3,26,6,5,3,0,Maya,Modernos,Yucatan
Poqo,53,4,8,0,0,Maya,Modernos,Guatemala
Tenek,55,18,8,0,0,Maya,Modernos,San_Luis_Potosi
Tojo,19,43,0,12,0,Maya,Modernos,Chiapas
Tzel,21,5,5,4,0,Maya,Modernos,Chiapas
Tzol,36,21,22,8,0,Maya,Modernos,Chiapas
p-Cho,7,0,0,0,0,Desconocido,Modernos,Puebla
p-Teo,16,6,5,2,0,Desconocido,Prehispanica,Puebla
p-OtXal,3,3,0,4,0,Otomangue,Prehispanica,EdoMex
c-Mix,22,10,7,2,0,Otomangue,Colonial,Oaxaca
p-Azt,23,6,2,6,0,Yuto-azteca,Prehispanica,CDMX
p-NXal,9,3,1,2,0,Yuto-azteca,Prehispanica,EdoMex
p-Tet,22,2,5,1,0,Yuto-azteca,Prehispanica,Hidalgo
NCDMX1,31,8,4,0,0,Yuto-azteca,Modernos,CDMX
NCDMX2,28,21,7,3,0,Yuto-azteca,Modernos,CDMX
NGro1,30,14,1,1,0,Yuto-azteca,Modernos,Guerrero
NGro2,19,14,3,5,0,Yuto-azteca,Modernos,Guerrero
NHgo1,91,23,12,1,4,Yuto-azteca,Modernos,Hidalgo
NHgo2,110,54,18,9,1,Yuto-azteca,Modernos,Hidalgo
NPue1,75,21,13,10,3,Yuto-azteca,Modernos,Puebla
NPue2,29,9,7,1,0,Yuto-azteca,Modernos,Puebla
NSLP,14,6,6,0,0,Yuto-azteca,Modernos,San_Luis_Potosi
NVer1,25,6,0,0,0,Yuto-azteca,Modernos,Veracruz
NVer2,26,13,0,8,0,Yuto-azteca,Modernos,Veracruz
NVer3,19,15,3,0,0,Yuto-azteca,Modernos,Veracruz
NVer4,26,3,0,6,0,Yuto-azteca,Modernos,Veracruz
