pop,A,B,C,D,Otros,fam_ling,epoca
p-MBon,1,0,0,0.04,0,Maya,Prehispanica
p-MPal,0.555555556,0,0.333333333,0.006858711,0,Maya,Prehispanica
P-MTab,0.470588235,0,0.411764706,0.001628333,0,Maya,Prehispanica
p-MRey,0.6,0,0.4,0.024,0,Maya,Prehispanica
p-MXcaret,0.846153846,0.038461538,0.076923077,0.001251707,0.038461538,Maya,Prehispanica
p-MXcam,1,0,0,0.25,0,Maya,Prehispanica
p-MCop,0,0,0.888888889,0,0,Maya,Prehispanica
c-MXca,0.666666667,0.041666667,0.166666667,0.001157407,0,Maya,Colonial
Chol,0.888888889,0,0.111111111,0.010973937,0,Maya,Modernos
Chor,0.701754386,0,0.245614035,0.000215991,0.052631579,Maya,Modernos
Itza,0.941176471,0.058823529,0,0.003256666,0,Maya,Modernos
Laca,0.987654321,0,0.012345679,0.000150534,0,Maya,Modernos
MCam,0.615384615,0.173076923,0.153846154,0.000227583,0,Maya,Modernos
MQui1,0.773333333,0.053333333,0.106666667,0.000137481,0,Maya,Modernos
MQui2,0.795454545,0.068181818,0.090909091,0.000410875,0,Maya,Modernos
MQui3,0.648648649,0.162162162,0.148648649,0.000118453,0,Maya,Modernos
MYuc1,0.848,0.048,0.08,0.000054272,0,Maya,Modernos
MYuc2,0.518518519,0.222222222,0.148148148,0.000711274,0.037037037,Maya,Modernos
MYuc3,0.65,0.15,0.125,0.00040625,0,Maya,Modernos
Poqo,0.815384615,0.061538462,0.123076923,0.00019299,0,Maya,Modernos
Tenek,0.679012346,0.222222222,0.098765432,0.000103492,0,Maya,Modernos
Tojo,0.256756757,0.581081081,0,4.68876E-05,0,Maya,Modernos
Tzel,0.6,0.142857143,0.142857143,0.000489796,0,Maya,Modernos
Tzol,0.413793103,0.24137931,0.252873563,5.46695E-05,0,Maya,Modernos
p-Cho,1,0,0,0.020408163,0,Desconocido,Modernos
p-Teo,0.551724138,0.206896552,0.172413793,0.000656033,0,Desconocido,Prehispanica
p-OtXal,0.3,0.3,0,0.003,0,Otomangue,Prehispanica
c-Mix,0.536585366,0.243902439,0.170731707,0.000319206,0,Otomangue,Colonial
p-Azt,0.621621622,0.162162162,0.054054054,0.00045407,0,Yuto-azteca,Prehispanica
p-NXal,0.6,0.2,0.066666667,0.002666667,0,Yuto-azteca,Prehispanica
p-Tet,0.733333333,0.066666667,0.166666667,0.000814815,0,Yuto-azteca,Prehispanica
NCDMX1,0.720930233,0.186046512,0.093023256,0.000389903,0,Yuto-azteca,Modernos
NCDMX2,0.474576271,0.355932203,0.118644068,0.000136333,0,Yuto-azteca,Modernos
NGro1,0.652173913,0.304347826,0.02173913,0.000308211,0,Yuto-azteca,Modernos
NGro2,0.463414634,0.341463415,0.073170732,0.000275678,0,Yuto-azteca,Modernos
NHgo1,0.694656489,0.175572519,0.091603053,4.04788E-05,0.030534351,Yuto-azteca,Modernos
NHgo2,0.572916667,0.28125,0.09375,1.55414E-05,0.005208333,Yuto-azteca,Modernos
NPue1,0.614754098,0.172131148,0.106557377,4.1303E-05,0.024590164,Yuto-azteca,Modernos
NPue2,0.630434783,0.195652174,0.152173913,0.000297937,0,Yuto-azteca,Modernos
NSLP,0.538461538,0.230769231,0.230769231,0.000796541,0,Yuto-azteca,Modernos
NVer1,0.806451613,0.193548387,0,0.00083918,0,Yuto-azteca,Modernos
NVer2,0.553191489,0.276595745,0,0.000250426,0,Yuto-azteca,Modernos
NVer3,0.513513514,0.405405405,0.081081081,0.000375101,0,Yuto-azteca,Modernos
NVer4,0.742857143,0.085714286,0,0.000606414,0,Yuto-azteca,Modernos
